"Vueltas","Tiempo","Tiempo acumulado","Distancia","Velocidad media","Frecuencia cardiaca media","Frecuencia cardiaca máxima","Ascenso total","Descenso total","Calorías","Velocidad máxima","Tiempo en movimiento","Velocidad media en movimiento"
"1","13:37","13:37","5.00","22.0","115","140","11","36","67","36.3","13:17","22.6"
"2","12:08","25:45","5.00","24.7","132","154","22","13","76","35.8","12:08","24.7"
"3","15:34","41:19","5.00","19.3","140","159","76","17","104","27.4","15:34","19.3"
"4","14:41","55:59","5.00","20.4","136","146","34","9","80","27.2","14:41","20.4"
"5","3:07.9","59:07","1.01","19.3","138","160","16","0","17","20.7","3:07","19.4"
"6","16:27","1:15:34","5.00","18.2","148","173","70","35","111","35.3","16:27","18.2"
"7","16:13","1:31:47","5.00","18.5","147","166","59","6","103","23.5","16:13","18.5"
"8","18:57","1:50:44","5.00","15.8","142","168","118","42","96","30.4","17:50","16.8"
"9","10:30","2:01:14","5.00","28.6","122","140","7","97","30","42.3","10:29","28.6"
"10","10:18","2:11:31","5.00","29.1","139","163","9","52","57","36.5","10:17","29.2"
"11","10:53","2:22:25","5.00","27.6","147","170","30","81","71","48.2","10:53","27.6"
"12","11:17","2:33:41","5.00","26.6","142","167","12","35","60","36.4","11:16","26.6"
"13","11:33","2:45:14","5.00","26.0","140","160","19","77","57","44.7","11:33","26.0"
"14","11:06","2:56:20","5.00","27.0","142","158","21","28","57","29.8","11:06","27.0"
"15","12:14","3:08:33","5.00","24.5","155","166","32","11","93","30.6","12:13","24.6"
"16","0:31.1","3:09:04","0.14","15.8","151","153","0","4","3","20.5","0:29","17.0"
"Resumen","3:09:04","3:09:04","71.14","22.6","139","173","537","544","1,082","48.2","3:07:32","22.8"